client,total_sites,total_with_audio,total_with_tracks,pct_audios_with_tracks,pct_sites_with_audios,pct_audio_sites_with_tracks
desktop,5430532,72588,47,3.0447630076268817E-4,0.01336664621440404,6.474899432413071E-4
mobile,7940685,50566,46,4.666391868034438E-4,0.006367964476616312,9.097021714195309E-4
