client,total_sites,total_sites_with_required_controls,total_required_controls,total_asterisk,perc_asterisk,total_required_attribute,perc_required_attribute,total_aria_required,perc_aria_required,total_all_three,perc_all_three,total_asterisk_required,perc_asterisk_required,total_asterisk_aria,perc_asterisk_aria,total_required_with_aria,perc_required_with_aria
desktop,5430532,1210183,4671240,1024520,0.219325061439789,3065721,0.6562970431833945,1511463,0.3235678320959745,39787,0.008517438624433769,357963,0.07663125850951781,329950,0.07063434976580095,369156,0.07902741028078197
mobile,7940685,1708864,6553203,1425063,0.21746053036965282,4403943,0.6720290825722933,2083148,0.3178824156675751,53837,0.008215371933388909,565971,0.08636555284492178,384031,0.05860203018279763,555953,0.08483683475088441
