client,total_sites,total_with_inputs,total_with_search_input,perc_sites_with_search_input,perc_input_sites_with_search_input
mobile,7940685,5847265,1800259,0.22671331251648943,0.30788052191922205
desktop,5430532,4227679,1309845,0.2412001255125649,0.3098260298381216
