client,total_sites,attribute,total_sites_using,pct_sites_using
desktop,5430532,size,837784,0.15427291469786017
mobile,7940685,focusable,1221758,0.1538605296646322
mobile,7940685,data-type,1216787,0.1532345131433875
desktop,5430532,version,827844,0.15244252312664763
desktop,5430532,allow,822627,0.15148184376779292
desktop,5430532,y,804644,0.1481703818336767
desktop,5430532,data-type,792164,0.14587226444849233
desktop,5430532,x,786276,0.14478802445137973
mobile,7940685,allow,1145111,0.14420808784128825
mobile,7940685,aria-describedby,1132858,0.14266502197228575
desktop,5430532,marginwidth,773832,0.14249653625096032
mobile,7940685,size,1129614,0.14225649298517698
desktop,5430532,marginheight,772360,0.14222547625168216
mobile,7940685,version,1128438,0.14210839493066404
desktop,5430532,onload,771123,0.14199769009739746
mobile,7940685,y,1117115,0.1406824474210978
mobile,7940685,marginwidth,1110183,0.1398094748752784
mobile,7940685,marginheight,1107723,0.13949967792451154
mobile,7940685,border,1102122,0.13879432315977777
mobile,7940685,x,1092239,0.13754972020675799
desktop,5430532,xmlns:xlink,739736,0.13621796170246303
desktop,5430532,stroke-width,719843,0.13255478468776172
mobile,7940685,fill-rule,1045480,0.13166118540151134
desktop,5430532,fill-rule,714762,0.13161914891579682
mobile,7940685,xmlns:xlink,1018947,0.12831978601342328
desktop,5430532,maxlength,693426,0.12769025207843357
mobile,7940685,stroke-width,981557,0.12361112422920692
desktop,5430532,cx,657044,0.12099072429736166
desktop,5430532,cy,657040,0.12098998772127666
desktop,5430532,r,644617,0.11870236654530349
mobile,7940685,values,924340,0.11640557458204173
mobile,7940685,color-interpolation-filters,910749,0.11469400939591484
desktop,5430532,align,621694,0.11448123314621846
desktop,5430532,values,614462,0.11314950358454752
desktop,5430532,hspace,611955,0.11268785452327691
desktop,5430532,vspace,605607,0.11151890827638987
desktop,5430532,stroke,604281,0.11127473330421403
desktop,5430532,novalidate,604185,0.11125705547817415
mobile,7940685,tableValues,881823,0.11105125061628814
mobile,7940685,maxlength,869231,0.10946549321626535
mobile,7940685,cx,868094,0.10932230657682555
mobile,7940685,cy,868086,0.10932129910706696
mobile,7940685,in2,863090,0.10869213424282666
desktop,5430532,hreflang,588601,0.10838735505103367
desktop,5430532,aria-atomic,585223,0.10776531654725541
mobile,7940685,r,853805,0.10752283965426157
mobile,7940685,operator,847752,0.10676056284816739
desktop,5430532,transform,578028,0.10644040031437067
desktop,5430532,prefix,576391,0.10613895655158648
mobile,7940685,hspace,837248,0.10543775505513693
desktop,5430532,color-interpolation-filters,570402,0.10503611800832773
mobile,7940685,vspace,828912,0.10438797156668474
desktop,5430532,in2,565345,0.10410490169287281
mobile,7940685,prefix,825060,0.103902874877923
mobile,7940685,stroke,824628,0.10384847151095906
mobile,7940685,data-href,822055,0.10352444404985212
mobile,7940685,novalidate,819128,0.1031558360519275
desktop,5430532,operator,556438,0.10246473089561023
mobile,7940685,align,811335,0.1021744345733397
desktop,5430532,tableValues,554108,0.10203567532610065
mobile,7940685,aria-atomic,800521,0.10081258732716385
mobile,7940685,transform,797016,0.100371189639181
desktop,5430532,data-slick-index,542125,0.09982907751947691
desktop,5430532,disabled,531148,0.09780772859822942
mobile,7940685,hreflang,776202,0.09775000519476594
desktop,5430532,data-fbcssmodules,529249,0.09745803910187804
desktop,5430532,data-google-container-id,528930,0.0973992971590997
desktop,5430532,data-load-complete,528822,0.09737940960480483
mobile,7940685,data-fbcssmodules,773037,0.09735142497152324
mobile,7940685,data-title,756646,0.09528724536988938
desktop,5430532,data-href,510254,0.0939602234182581
desktop,5430532,color,508703,0.0936746160413013
desktop,5430532,checked,504354,0.09287377369289049
mobile,7940685,data-google-container-id,731357,0.09210250752926227
mobile,7940685,data-load-complete,731037,0.09206220873891861
desktop,5430532,data-cfasync,496027,0.09134040642795217
desktop,5430532,data-title,493024,0.09078742193214219
mobile,7940685,data-slick-index,719573,0.0906185045748572
mobile,7940685,data-height,716568,0.09024007374678633
desktop,5430532,stroke-linecap,485495,0.08940100159616038
mobile,7940685,disabled,699739,0.08812073517586959
mobile,7940685,checked,694999,0.0875238093439042
mobile,7940685,data-testid,692500,0.08720910097806424
desktop,5430532,data-adsbygoogle-status,464683,0.08556859622593145
mobile,7940685,data-cfasync,674954,0.08499946793003374
desktop,5430532,data-ad-status,458338,0.08440020241110816
mobile,7940685,color,666812,0.08397411558322739
desktop,5430532,data-name,455207,0.08382364748057833
desktop,5430532,xml:space,449612,0.08279336168169159
desktop,5430532,data-height,448629,0.08261234810880408
desktop,5430532,cellspacing,447457,0.08239653131590054
desktop,5430532,aria-selected,446685,0.08225437213149651
mobile,7940685,data-adsbygoogle-status,644557,0.08117146064854606
desktop,5430532,data-google-query-id,439469,0.08092558887416555
mobile,7940685,datetime,639056,0.08047869925579468
desktop,5430532,accept-charset,435829,0.08025530463682011
mobile,7940685,data-ad-status,634160,0.07986212776353677
desktop,5430532,data-testid,433170,0.0797656656843197
mobile,7940685,stroke-linecap,631117,0.07947891145411258
desktop,5430532,cellpadding,431593,0.07947527056281042
mobile,7940685,selected,618227,0.07785562580558227
mobile,7940685,data-width,616396,0.07762504116458467
desktop,5430532,data-srcset,417958,0.07696446683308375
desktop,5430532,selected,417936,0.07696041566461628
mobile,7940685,data-srcset,607429,0.07649579349892358
desktop,5430532,xlink:href,414195,0.07627153288112472
mobile,7940685,xml:space,605554,0.07625966777425373
desktop,5430532,datetime,408590,0.0752394056420255
mobile,7940685,data-version,596109,0.07507022379051681
mobile,7940685,aria-selected,594307,0.07484329122739411
desktop,5430532,data-width,404237,0.0744378267175297
desktop,5430532,aria-required,403053,0.07421980019637119
mobile,7940685,data-name,588049,0.07405519800873603
desktop,5430532,data-ad-client,398056,0.0732996325221912
desktop,5430532,language,397318,0.07316373423450961
mobile,7940685,data-google-query-id,571729,0.07199995970120966
desktop,5430532,data-dismiss,389394,0.07170457701013455
mobile,7940685,aria-required,569116,0.07167089489130976
mobile,7940685,accept-charset,567837,0.07150982566365496
mobile,7940685,xlink:href,562296,0.07081202692211062
mobile,7940685,data-dismiss,558676,0.07035614685634803
mobile,7940685,data-ad-client,553392,0.06969071308079844
mobile,7940685,data-url,547706,0.06897465394987964
desktop,5430532,data-index,369795,0.06809553833768035
desktop,5430532,hidden,366787,0.06754163312176413
desktop,5430532,points,360644,0.06641043639923308
mobile,7940685,data-rsssl,521084,0.06562204646072725
mobile,7940685,cellspacing,516052,0.06498834798257329
desktop,5430532,data-url,349176,0.06429867276355244
desktop,5430532,data-style,347993,0.06408083038641518
mobile,7940685,data-index,505772,0.06369374934278339
mobile,7940685,cellpadding,493672,0.062169951332913975
mobile,7940685,data-settings,491391,0.06188269651799561
mobile,7940685,x2,490906,0.061821618663881014
desktop,5430532,enctype,332775,0.06127852667105175
desktop,5430532,data-rsssl,331760,0.06109162048948427
mobile,7940685,language,484346,0.0609954934618361
mobile,7940685,points,482486,0.060761256742963614
mobile,7940685,clip-rule,480985,0.06057223022950791
mobile,7940685,rows,480078,0.06045800834562761
desktop,5430532,clip-rule,327487,0.06030477308668838
mobile,7940685,hidden,475748,0.05991271533879004
mobile,7940685,data-style,467383,0.058859279772462955
desktop,5430532,xml:lang,315327,0.058065581788303615
mobile,7940685,draggable,460574,0.05800179707418189
desktop,5430532,rows,311306,0.0573251386788624
desktop,5430532,data-version,307694,0.05666001047411193
desktop,5430532,aria-disabled,298377,0.054944340628137356
desktop,5430532,data-action,298228,0.05491690316897129
desktop,5430532,fb-iframe-plugin-query,297075,0.054704585112471484
desktop,5430532,onsubmit,295764,0.05446317230061438
mobile,7940685,fb-iframe-plugin-query,431905,0.05439140326054994
mobile,7940685,enctype,431425,0.05433095507503446
mobile,7940685,y2,429889,0.05413752088138492
mobile,7940685,aria-disabled,429838,0.0541310982616739
mobile,7940685,y1,426434,0.053702419879393275
desktop,5430532,data-sizes,291593,0.05369510758798585
mobile,7940685,data-sizes,425246,0.05355281062024246
mobile,7940685,data-element_type,421268,0.05305184628278291
desktop,5430532,draggable,287977,0.053029242807150385
desktop,5430532,data-icon,285664,0.05260331768600204
mobile,7940685,data-icon,416746,0.05248237400173914
desktop,5430532,data-ad-slot,284429,0.05237589981975983
desktop,5430532,aria-modal,283152,0.05214074790462518
desktop,5430532,x2,283039,0.05211993963022407
desktop,5430532,stroke-linejoin,282956,0.05210465567646043
desktop,5430532,colspan,282932,0.052100236219950455
mobile,7940685,x1,411915,0.05187398820126979
desktop,5430532,y2,281597,0.05185440395158338
desktop,5430532,data-settings,279629,0.05149200851776585
mobile,7940685,data-widget_type,408636,0.051461051533967156
mobile,7940685,data-action,407868,0.05136433443714239
mobile,7940685,data-ad-format,407187,0.0512785735739423
desktop,5430532,y1,278437,0.05127250884443734
mobile,7940685,data-elementor-type,406814,0.05123160029644798
desktop,5430532,x1,278210,0.051230708151613874
mobile,7940685,data-elementor-id,406799,0.05122971129065062
mobile,7940685,preserveAspectRatio,404081,0.05088742344016921
mobile,7940685,nomodule,402086,0.05063618566912049
desktop,5430532,data-ad-format,273762,0.05041163554509945
mobile,7940685,xml:lang,393585,0.04956562311689735
desktop,5430532,data-checked-head,267291,0.04922003958359881
mobile,7940685,data-color,389045,0.048993884028896754
desktop,5430532,fb-xfbml-state,265353,0.04886316847041874
mobile,7940685,data-elementor-device-mode,383430,0.04828676619208545
mobile,7940685,fb-xfbml-state,380138,0.0478721923864251
mobile,7940685,data-ad-slot,375290,0.04726166571271874
mobile,7940685,data-checked-head,371891,0.046833616999037236
desktop,5430532,nomodule,253256,0.04663557824537264
desktop,5430532,aria-invalid,250095,0.046053498994205355
mobile,7940685,aria-modal,364141,0.04585763067040186
mobile,7940685,data-swiper-slide-index,362308,0.045626794161964614
desktop,5430532,rx,245685,0.045241423860498384
mobile,7940685,data-description,357031,0.044962241922453794
mobile,7940685,colspan,354935,0.04469828484570286
mobile,7940685,data-source,349374,0.043997967429762044
mobile,7940685,onsubmit,348815,0.04392757048038047
desktop,5430532,data-element_type,238229,0.04386844603806773
desktop,5430532,opacity,236506,0.04355116588945614
mobile,7940685,data-nosnippet,345589,0.0435213083002285
desktop,5430532,data-swiper-slide-index,235487,0.04336352313180366
mobile,7940685,aria-invalid,343930,0.043312384259040625
mobile,7940685,data-role,341754,0.04303835248470377
desktop,5430532,data-role,233370,0.04297369023882006
desktop,5430532,data-color,232175,0.042753638133427814
desktop,5430532,loop,232136,0.04274645651659911
desktop,5430532,data-nosnippet,231068,0.04254979070190545
desktop,5430532,data-widget_type,230662,0.042475028229278455
desktop,5430532,data-elementor-type,229477,0.04225681756409869
desktop,5430532,data-elementor-id,229463,0.04225423954780121
desktop,5430532,data-description,228548,0.042085747768358606
desktop,5430532,muted,227772,0.041942852007869576
desktop,5430532,onfocus,227393,0.041873061423816305
desktop,5430532,autoplay,226617,0.041730165663327275
desktop,5430532,data-source,222522,0.04097609589631366
mobile,7940685,data-autoplay,325134,0.040945334061230236
mobile,7940685,opacity,324596,0.040877581719964966
desktop,5430532,onerror,220772,0.040653843859128354
desktop,5430532,data-autoplay,220567,0.040616094334772354
mobile,7940685,stroke-linejoin,321764,0.04052093742542363
desktop,5430532,preserveAspectRatio,218159,0.040172675531605376
mobile,7940685,onerror,315948,0.03978850691092771
desktop,5430532,spellcheck,215697,0.03971931295129096
desktop,5430532,valign,215321,0.03965007479930143
desktop,5430532,data-elementor-device-mode,213436,0.03930296331924754
desktop,5430532,data-ride,208574,0.038407655087936136
desktop,5430532,aria-relevant,208362,0.038368616555431403
