client,total_pages,total_viewports,total_no_scale,total_locked_max_scale,total_either,pct_pages_no_scale,pct_pages_locked_max_scale,pct_pages_either
desktop,5430532,4805794,852066,1098273,1269951,0.15690285960933478,0.202240406648925,0.23385388392886738
mobile,7940685,7362643,1449889,1933689,2206832,0.18258991510178277,0.24351664875259502,0.2779145627864599
