client,rank_grouping,total_in_rank,app,sites_with_app,pct_sites_with_app
mobile,1000000,950778,NagishLi,50,5.2588511724082805E-5
desktop,10000000,5431533,NagishLi,291,5.3576034611223016E-5
mobile,10000000,7909918,NagishLi,371,4.690314109450945E-5
desktop,100000,87148,Pojo.me,35,4.016156423555331E-4
mobile,100000,91596,Pojo.me,34,3.711952487008166E-4
desktop,1000000,904524,Pojo.me,1078,0.0011917870614820613
mobile,1000000,950778,Pojo.me,1078,0.0011338083127712252
desktop,10000000,5431533,Pojo.me,10109,0.0018611688449651322
mobile,10000000,7909918,Pojo.me,14036,0.0017744811008154572
desktop,100000,87148,Recite Me,4,4.589893055491807E-5
mobile,100000,91596,Recite Me,3,3.2752521944189706E-5
desktop,1000000,904524,Recite Me,62,6.854433934312412E-5
mobile,1000000,950778,Recite Me,62,6.520975453786267E-5
desktop,10000000,5431533,Recite Me,156,2.872117319364533E-5
mobile,10000000,7909918,Recite Me,157,1.9848499061557908E-5
desktop,100000,87148,Texthelp,15,1.7212098958094277E-4
mobile,100000,91596,Texthelp,14,1.528451024062186E-4
desktop,1000000,904524,Texthelp,394,4.3558822098695003E-4
mobile,1000000,950778,Texthelp,386,4.0598331050991927E-4
desktop,10000000,5431533,Texthelp,1518,2.79479108384318E-4
mobile,10000000,7909918,Texthelp,1564,1.9772644925016922E-4
desktop,10000,8077,UsableNet,10,0.001238083446824316
mobile,10000,9408,UsableNet,10,0.0010629251700680273
desktop,100000,87148,UsableNet,75,8.606049479047139E-4
mobile,100000,91596,UsableNet,72,7.860605266605528E-4
desktop,1000000,904524,UsableNet,194,2.144774489123561E-4
mobile,1000000,950778,UsableNet,188,1.9773280408255135E-4
desktop,10000000,5431533,UsableNet,283,5.210315393462582E-5
mobile,10000000,7909918,UsableNet,273,3.451363212614846E-5
desktop,10000,8077,UserWay,6,7.428500680945896E-4
mobile,10000,9408,UserWay,6,6.377551020408163E-4
desktop,100000,87148,UserWay,105,0.0012048469270665994
mobile,100000,91596,UserWay,98,0.0010699157168435303
desktop,1000000,904524,UserWay,2829,0.0031276118709951312
mobile,1000000,950778,UserWay,2757,0.0028997305364659256
desktop,10000000,5431533,UserWay,26606,0.004898432910193126
mobile,10000000,7909918,UserWay,30565,0.0038641361389587098
desktop,1000,771,eSSENTIAL Accessibility,1,0.0012970168612191958
mobile,1000,929,eSSENTIAL Accessibility,1,0.001076426264800861
desktop,10000,8077,eSSENTIAL Accessibility,6,7.428500680945896E-4
mobile,10000,9408,eSSENTIAL Accessibility,6,6.377551020408163E-4
desktop,100000,87148,eSSENTIAL Accessibility,62,7.114334236012301E-4
mobile,100000,91596,eSSENTIAL Accessibility,60,6.55050438883794E-4
desktop,1000000,904524,eSSENTIAL Accessibility,217,2.399051877009344E-4
mobile,1000000,950778,eSSENTIAL Accessibility,215,2.2613060041355606E-4
desktop,10000000,5431533,eSSENTIAL Accessibility,544,1.0015588600860935E-4
mobile,10000000,7909918,eSSENTIAL Accessibility,527,6.662521659516572E-5
desktop,10000,8077,uRemediate,1,1.238083446824316E-4
mobile,10000,9408,uRemediate,1,1.0629251700680272E-4
desktop,100000,87148,uRemediate,19,2.1801992013586083E-4
mobile,100000,91596,uRemediate,18,1.965151316651382E-4
desktop,1000000,904524,uRemediate,95,1.0502761673543212E-4
mobile,1000000,950778,uRemediate,95,9.991817227575733E-5
desktop,10000000,5431533,uRemediate,213,3.9215448014400355E-5
mobile,10000000,7909918,uRemediate,212,2.6801794911148257E-5
