client,pages_focus,pages_focus_outline_0,total_pages,pct_pages_focus,pct_pages_focus_outline_0
mobile,9177897,8825198,10328202,0.8886248545487394,0.8544757354668315
desktop,6553875,6279360,7303959,0.8973044618678719,0.8597200504548287
