client,sites_with_non_empty_alt,sites_with_file_extension_alt,total_alts_with_file_extensions,pct_sites_with_file_extension_alt,pct_alts_with_file_extension,extension,total_sites_using,pct_applicable_sites_using,total_occurances,pct_total_occurances
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,heic,1484,2.2296282740904273E-4,2747,7.579375820328786E-4
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,jfif,1012,1.520474267775952E-4,1823,5.029924324885102E-4
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,jpe,774,1.1628923747614493E-4,1358,3.746921137242989E-4
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,cur,726,1.0907750181870959E-4,1213,3.346844874429857E-4
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,tiff,460,6.911246671708872E-5,801,2.2100764587125435E-4
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,bmp,363,5.4538750909354796E-5,711,1.9617532611043926E-4
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,dib,330,4.958068264486799E-5,615,1.6968751836556983E-4
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,jp2,70,1.0517114500426545E-5,160,4.414634624144906E-5
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,jpf,43,6.460513193119162E-6,135,3.724847964122265E-5
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,jfi,53,7.962958121751526E-6,79,2.1797258456715473E-5
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,apng,53,7.962958121751526E-6,78,2.1521343792706417E-5
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,pjp,42,6.310268700255927E-6,71,1.958994114464302E-5
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,jpm,28,4.206845800170617E-6,66,1.821036782459774E-5
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,jif,35,5.258557250213272E-6,56,1.545122118450717E-5
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,mj2,5,7.512224643161817E-7,38,1.0484757232344152E-5
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,j2k,5,7.512224643161817E-7,33,9.10518391229887E-6
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,heif,16,2.4039118858117813E-6,16,4.414634624144906E-6
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,pjpeg,2,3.0048898572647267E-7,14,3.862805296126793E-6
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,jpx,8,1.2019559429058907E-6,10,2.7591466400905662E-6
